cohort,contrast,mean_difference,ci95_low,ci95_high,wins,losses,ties
eval_unseen_tu,broad_minus_narrow,0.0267,-0.0200,0.0733,9,5,136
heldout_project,broad_minus_narrow,0.0333,-0.0067,0.0800,8,3,139
