arm,records,rendered_tokens,diagnostics,source_files,eval_unseen_tu_fix,heldout_project_fix,eval_unseen_tu_exact,heldout_project_exact
narrow,3500,1461808,135,1458,0.873,0.800,0.713,0.653
broad,3500,1526301,427,1720,0.900,0.833,0.773,0.687
