diagnostic_name,component,tablegen_message,test_reachable,emission_context_available
err_acc_routine_overload_set,Sema,OpenACC routine name %0 names a set of overloads,false,true
err_acc_subarray_base_plus_length_out_of_range,Sema,OpenACC sub-array specified range [%0:%1] would be out of the range of the subscripted array size of %2,false,true
err_acc_subarray_function_type,Sema,OpenACC sub-array cannot be of function type %0,false,true
err_acc_subarray_incomplete_type,Sema,OpenACC sub-array base is of incomplete type %0,false,true
err_acc_subarray_negative,Sema,OpenACC sub-array %select{lower bound|length}0 evaluated to negative value %1,false,true
err_acc_subarray_no_length,Sema,OpenACC sub-array length is unspecified and cannot be inferred because the subscripted value is %select{not an array|an array of unknown bound}0,false,true
err_acc_subarray_out_of_range,Sema,OpenACC sub-array %select{lower bound|length}0 evaluated to a value (%1) that would be out of the range of the subscripted array size of %2,false,true
err_acc_typecheck_subarray_value,Sema,OpenACC sub-array subscripted value is not an array or pointer,false,true
err_acc_unexpected_directive,Parse,unexpected OpenACC directive %select{|'#pragma acc %1'}0,false,true
err_acc_update_as_body,Sema,OpenACC 'update' construct may not appear in place of the statement following a%select{n if statement| while statement| do statement| switch statement| label statement}0,false,true
err_access_dtor,Sema,calling a %select{private|protected}1 destructor of class %0,true,true
err_access_dtor_base,Sema,base class %0 has %select{private|protected}1 destructor,true,true
err_access_dtor_exception,Sema,exception object of type %0 has %select{private|protected}1 destructor,false,true
err_access_dtor_field,Sema,field of type %1 has %select{private|protected}2 destructor,true,true
err_access_dtor_ivar,Sema,instance variable of type %0 has %select{private|protected}1 destructor,false,true
err_access_dtor_temp,Sema,temporary of type %0 has %select{private|protected}1 destructor,true,true
err_access_dtor_vbase,Sema,inherited virtual base class %1 has %select{private|protected}2 destructor,false,true
err_access_field_ctor,Sema,field of type %0 has %select{private|protected}2 %select{default |copy |move |*ERROR* |*ERROR* |*ERROR* |}1constructor,true,true
err_access_friend_function,Sema,friend function %1 is a %select{private|protected}0 member of %3,true,true
err_access_lambda_capture,Sema,capture of variable '%0' as type %1 calls %select{private|protected}3 %select{default |copy |move |*ERROR* |*ERROR* |*ERROR* |}2constructor,true,true
err_access_specifier_interface,Parse,interface types cannot specify '%select{private|protected}0' access,false,true
err_addr_ovl_ambiguous,Sema,address of overloaded function %0 is ambiguous,true,true
err_addr_ovl_no_qualifier,Sema,cannot form member pointer of type %0 without '&' and class name,true,true
err_addr_ovl_not_func_ptrref,Sema,address of overloaded function %0 cannot be converted to type %1,false,true
err_address_of_function_with_pass_object_size_params,Sema,cannot take address of function %0 because parameter %1 has pass_object_size attribute,false,true
err_address_space_mismatch_templ_inst,Sema,conflicting address space qualifiers are provided between types %0 and %1,false,true
err_address_space_qualified_delete,Sema,'delete' cannot delete objects of type %0 in address space '%1',false,true
err_address_space_qualified_new,Sema,'new' cannot allocate objects of type %0 in address space '%1',true,true
err_addrof_function_constraints_not_satisfied,Sema,cannot take address of function %0 because its constraints are not satisfied,false,true
err_aix_attr_unsupported,Sema,%0 attribute is not yet supported on AIX,false,true
err_aix_musttail_unsupported,Common,'musttail' attribute is not supported on AIX,false,true
err_alias_after_tentative,Sema,alias definition of %0 after tentative definition,false,true
err_alias_declaration_pack_expansion,Parse,alias declaration cannot be a pack expansion,false,true
err_alias_not_supported_on_darwin,Sema,aliases are not supported on darwin,true,true
err_alias_not_supported_on_nvptx,Sema,CUDA older than 10.0 does not support .alias,false,true
err_alias_to_common,Frontend,alias to a variable in a common section is not allowed,false,true
err_alias_to_undefined,Frontend,%select{alias|ifunc}0 must point to a defined %select{variable or |}1function,false,true
err_aligned_allocation_unavailable,Sema,aligned %select{allocation|deallocation}0 function of type '%1' is %select{only|not}4 available on %2%select{ %3 or newer|}4,true,true
err_alignment_dependent_typedef_name,Sema,requested alignment is dependent but declaration is not dependent,false,true
err_alignment_too_big,Sema,requested alignment must be %0 or smaller,false,true
err_alignment_too_small,Sema,requested alignment must be %0 or greater,false,true
err_allowable_clients_mismatch,InstallAPI,allowable clients do not match: '%0' (provided) vs '%1' (found),false,true
err_allowable_clients_missing,InstallAPI,allowable client missing from %0: '%1',false,true
err_altivec_empty_initializer,Sema,expected initializer,false,true
err_ambiguous_destructor,Sema,destructor of class %0 is ambiguous,false,true
err_ambiguous_suitable_delete_member_function_found,Sema,multiple suitable %0 functions in %1,true,true
err_ambiguous_tag_hiding,Sema,a type named %0 is hidden by a declaration in a different namespace,false,true
err_amdgcn_coop_atomic_invalid_as,Sema,cooperative atomic requires a global or generic pointer,false,true
err_amdgcn_load_lds_size_invalid_value,Sema,invalid size value,false,true
err_analyzer_checker_incompatible_analyzer_option,Driver,checker cannot be enabled with analyzer option '%0' == %1,false,true
err_analyzer_checker_option_invalid_input,Driver,"invalid input for checker option '%0', that expects %1",false,true
err_analyzer_checker_option_unknown,Driver,checker '%0' has no option called '%1',false,true
err_analyzer_config_invalid_input,Driver,"invalid input for analyzer-config option '%0', that expects %1 value",false,true
err_analyzer_config_multiple_values,Driver,analyzer-config option '%0' should contain only one '=',false,true
err_analyzer_config_no_value,Driver,analyzer-config option '%0' has a key but no value,false,true
err_analyzer_config_unknown,Driver,unknown analyzer-config '%0',false,true
err_analyzer_not_built_with_z3,Driver,analyzer constraint manager 'z3' is only available if LLVM was built with -DLLVM_ENABLE_Z3_SOLVER=ON,false,true
err_anonymous_property,Sema,anonymous property is not supported,false,true
err_anonymous_record_bad_member,Sema,anonymous %select{struct|union}0 can only contain non-static data members,false,true
err_anonymous_record_nonpublic_member,Sema,anonymous %select{struct|union}0 cannot contain a %select{private|protected}1 data member,false,true
err_anonymous_record_with_static,Sema,static members cannot be declared in an anonymous %select{struct|union}0,false,true
err_anyx86_interrupt_called,Sema,interrupt service routine cannot be called directly,false,true
err_apinotes_message,Common,%0,true,true
err_appextension_safe_mismatch,InstallAPI,the ApplicationExtensionSafe flag does not match: '%0' (provided) vs '%1' (found),false,true
err_arc_array_param_no_ownership,Sema,must explicitly describe intended ownership of an object array parameter,false,true
err_arc_assign_property_ownership,Sema,existing instance variable %1 for property %0 with %select{unsafe_unretained|assign}2 attribute must be __unsafe_unretained,false,true
err_arc_atomic_ownership,Sema,cannot perform atomic operation on a pointer to type %0: type has non-trivial ownership,false,true
err_arc_autoreleasing_capture,Sema,cannot capture __autoreleasing variable in a %select{block|lambda by copy}0,false,true
err_arc_autoreleasing_var,Sema,%select{__block variables|global variables|fields|instance variables}0 cannot have __autoreleasing ownership,false,true
err_arc_bridge_cast_incompatible,Sema,incompatible types casting %0 to %1 with a %select{__bridge|__bridge_transfer|__bridge_retained}2 cast,false,true
err_arc_bridge_cast_wrong_kind,Sema,cast of %select{Objective-C|block|C}0 pointer type %1 to %select{Objective-C|block|C}2 pointer type %3 cannot use %select{__bridge|__bridge_transfer|__bridge_retained}4,false,true
err_arc_bridge_retain,Parse,unknown cast annotation __bridge_retain; did you mean __bridge_retained?,false,true
err_arc_cast_requires_bridge,Sema,%select{cast|implicit conversion}0 of %select{Objective-C|block|C}1 pointer type %2 to %select{Objective-C|block|C}3 pointer type %4 requires a bridged cast,true,true
err_arc_collection_forward,Sema,collection expression type %0 is a forward declaration,false,true
err_arc_convesion_of_weak_unavailable,Sema,%select{implicit conversion|cast}0 of weak-unavailable object of type %1 to a __weak object of type %2,false,true
err_arc_gained_method_convention,Sema,method implementation does not match its declaration,false,true
err_arc_illegal_explicit_message,Sema,ARC forbids explicit message send of %0,false,true
err_arc_illegal_method_def,Sema,ARC forbids %select{implementation|synthesis}0 of %1,false,true
err_arc_illegal_selector,Sema,ARC forbids use of %0 in a @selector,false,true
err_arc_inconsistent_property_ownership,Sema,%select{|unsafe_unretained|strong|weak}1 property %0 may not also be declared %select{|__unsafe_unretained|__strong|__weak|__autoreleasing}2,true,true
err_arc_indirect_no_ownership,Sema,%select{pointer|reference}1 to non-const type %0 with no explicit ownership,false,true
err_arc_init_method_unrelated_result_type,Sema,init methods must return a type related to the receiver type,false,true
err_arc_lost_method_convention,Sema,"method was declared as %select{an 'alloc'|a 'copy'|an 'init'|a 'new'}0 method, but its implementation doesn't match because %select{its result type is not an object pointer|its result type is unrelated to its receiver type}1",false,true
err_arc_may_not_respond,Sema,no visible @interface for %0 declares the selector %1,false,true
err_arc_method_not_found,Sema,no known %select{instance|class}1 method for selector %0,false,true
err_arc_mismatched_cast,Sema,%select{implicit conversion|cast}0 of %select{%2|a non-Objective-C pointer type %2|a block pointer|an Objective-C pointer|an indirect pointer to an Objective-C pointer}1 to %3 is disallowed with ARC,false,true
err_arc_multiple_method_decl,Sema,"multiple methods named %0 found with mismatched result, parameter type or attributes",false,true
err_arc_new_array_without_ownership,Sema,'new' cannot allocate an array of %0 with no explicit ownership,false,true
err_arc_nolifetime_behavior,Sema,explicit ownership qualifier on cast result has no effect,true,true
err_arc_nonlocal_writeback,Sema,passing address of %select{non-local|non-scalar}0 object to __autoreleasing parameter for write-back,false,true
err_arc_objc_property_default_assign_on_object,Sema,ARC forbids synthesizing a property of an Objective-C object with unspecified ownership or storage attribute,false,true
err_arc_perform_selector_retains,Sema,performSelector names a selector which retains the object,false,true
err_arc_pseudo_dtor_inconstant_quals,Sema,pseudo-destructor destroys object of type %0 with inconsistently-qualified type %1,false,true
err_arc_receiver_forward_class,Sema,receiver %0 for class message is a forward declaration,false,true
err_arc_receiver_forward_instance,Sema,receiver type %0 for instance message is a forward declaration,false,true
err_arc_strong_property_ownership,Sema,existing instance variable %1 for strong property %0 may not be %select{|__unsafe_unretained||__weak}2,true,true
err_arc_thread_ownership,Sema,thread-local variable has non-trivial ownership: type is %0,false,true
err_arc_typecheck_convert_incompatible_pointer,Sema,incompatible pointer types passing retainable parameter of type %0to a CF function expecting %1 type,false,true
err_arc_unsupported_on_runtime,Driver,-fobjc-arc is not supported on platforms using the legacy runtime,false,true
err_arc_unsupported_on_toolchain,Driver,-fobjc-arc is not supported on versions of OS X prior to 10.6,false,true
err_arc_unsupported_weak_class,Sema,class is incompatible with __weak references,true,true
err_arc_unused_init_message,Sema,the result of a delegate init call must be immediately returned or assigned to 'self',false,true
err_arc_weak_disabled,Sema,cannot create __weak reference in file using manual reference counting,false,true
err_arc_weak_ivar_access,Sema,"dereferencing a __weak pointer is not allowed due to possible null value caused by race condition, assign it to strong variable first",false,true
err_arc_weak_no_runtime,Sema,cannot create __weak reference because the current deployment target does not support weak references,true,true
err_arc_weak_unavailable_assign,Sema,assignment of a weak-unavailable object to a __weak object,false,true
err_arc_weak_unavailable_property,Sema,"synthesizing __weak instance variable of type %0, which does not support weak references",false,true
err_arch_unsupported_isa,Driver,architecture '%0' does not support '%1' execution mode,false,true
err_architecture_mismatch,InstallAPI,architectures do not match: '%0' (provided) vs '%1' (found),false,true
err_arg_is_not_destructurable,Sema,type %0 cannot be bound,false,true
err_arg_with_address_space,Sema,parameter may not be qualified with an address space,true,true
err_argument_not_contiguous_bit_field,Sema,argument %0 value should represent a contiguous bit field,false,true
err_argument_not_multiple,Sema,argument should be a multiple of %0,false,true
err_argument_not_shifted_byte,Sema,argument should be an 8-bit value shifted by a multiple of 8 bits,false,true
err_argument_not_shifted_byte_or_xxff,Sema,"argument should be an 8-bit value shifted by a multiple of 8 bits, or in the form 0x??FF",false,true
err_arith_conv_enum_float_cxx26,Sema,invalid %sub{select_arith_conv_kind}0 %select{floating-point|enumeration}1 type %2 %plural{2:with|4:from|:and}0 %select{enumeration|floating-point}1 type %3,true,true
err_arithmetic_nonfragile_interface,Sema,"arithmetic on pointer to interface %0, which is not a constant size for this architecture and platform",false,true
err_arm_interrupt_called,Sema,interrupt service routine cannot be called directly,false,true
err_arm_invalid_coproc,Sema,coprocessor %0 must be configured as %select{GCP|CDE}1,false,true
