diagnostic_name,component,tablegen_message,test_reachable,emission_context_available
err_defaulted_comparison_deduced_return_type_not_auto,Sema,"deduced return type for defaulted %sub{select_defaulted_comparison_kind}0 must be 'auto', not %1",false,true
err_defaulted_comparison_not_friend,Sema,%sub{select_defaulted_comparison_kind}0 is not a friend of %select{|incomplete class }1%2,false,true
err_defaulted_comparison_num_args,Sema,%select{non-member|member}0 %sub{select_defaulted_comparison_kind}1 must have %select{2|1}0 parameters,false,true
err_defaulted_comparison_param,Sema,"invalid parameter type for defaulted %sub{select_defaulted_comparison_kind}0; found %1, expected %2%select{| or %4}3",false,true
err_defaulted_comparison_param_mismatch,Sema,"parameters for defaulted %sub{select_defaulted_comparison_kind}0 must have the same type%diff{ (found $ vs $)|}1,2",false,true
err_defaulted_comparison_param_unknown,Sema,"invalid parameter type for non-member defaulted %sub{select_defaulted_comparison_kind}0; found %1, expected class or reference to a constant class",false,true
err_defaulted_special_member_copy_const_param,Sema,"the parameter for this explicitly-defaulted copy %select{constructor|assignment operator}0 is const, but a member or base requires it to be non-const",false,true
err_defaulted_special_member_explicit_object_mismatch,Sema,the type of the explicit object parameter of an explicitly-defaulted %select{copy|move}0 assignment operator should be reference to %1,false,true
err_defaulted_special_member_params,Sema,an explicitly-defaulted %sub{select_special_member_kind}0 cannot have default arguments,false,true
err_defaulted_special_member_quals,Sema,"an explicitly-defaulted %select{copy|move}0 assignment operator may not have 'const'%select{, 'constexpr'|}1 or 'volatile' qualifiers",false,true
err_defer_invalid_sjlj,Sema,cannot use %0 inside a defer statement,true,true
err_defer_ts_labeled_stmt,Parse,substatement of defer must not be a label,true,true
err_defined_in_pp_embed,Lex,'defined' cannot appear within this context,false,true
err_delegating_ctor,Sema,delegating constructors are permitted only in C++11,true,true
err_delete_explicit_conversion,Sema,converting delete expression from type %0 to type %1 invokes an explicit conversion function,false,true
err_delete_incomplete,Sema,cannot delete pointer to incomplete type %0,false,true
err_delete_incomplete_class_type,Sema,deleting incomplete class type %0; no conversions to pointer type,false,true
err_deleted_function_use,Sema,attempt to use a deleted function%select{|: %1}0,true,true
err_deleted_inherited_ctor_use,Sema,constructor inherited by %0 from base class %1 is implicitly deleted,false,true
err_deleted_non_function,Common,only functions can have deleted definitions,true,true
err_dep_source_scanner_missing_semi_after_at_import,Lex,could not find ';' after @import,false,true
err_dep_source_scanner_unexpected_tokens_at_import,Lex,unexpected extra tokens at end of @import declaration,false,true
err_dependent_deduced_tst,Sema,typename specifier refers to %select{class template|function template|variable template|alias template|template template parameter|template}0 member in %1; argument deduction not allowed here,false,true
err_dependent_nested_name_spec,Sema,nested name specifier for a declaration cannot depend on a template parameter,false,true
err_dependent_non_type_arg_in_partial_spec,Sema,type of specialized non-type template argument depends on a template parameter of the partial specialization,false,true
err_dependent_tag_decl,Sema,%select{declaration|definition}0 of %select{struct|interface|union|class|enum}1 in a dependent scope,false,true
err_dependent_typed_non_type_arg_in_partial_spec,Sema,non-type template argument specializes a template parameter with dependent type %0,false,true
err_dereference_incomplete_type,Sema,dereference of pointer to incomplete type %0,false,true
err_designated_init_attr_non_init,Sema,'objc_designated_initializer' attribute only applies to init methods of interface or class extension declarations,false,true
err_designator_for_scalar_or_sizeless_init,Sema,designator in initializer for %select{scalar|indivisible sizeless}0 type %1,false,true
err_destroy_attr_on_non_static_var,Sema,%select{no_destroy|always_destroy}0 attribute can only be applied to a variable with static or thread storage duration,false,true
err_destroying_operator_delete_not_usual,Sema,destroying operator delete can have only an optional size and optional alignment parameter,false,true
err_destructor_expr_mismatch,Sema,identifier %0 in object destruction expression does not name the type %1 of the object being destroyed,false,true
err_destructor_name,Sema,expected the class name after '~' to name the enclosing class,true,true
err_diagnose_if_expected_equals,Sema,expected '=' after diagnostic option,false,false
err_diagnose_if_invalid_diagnostic_type,Sema,"invalid diagnostic type for 'diagnose_if'; use ""error"" or ""warning"" instead",false,true
err_diagnose_if_succeeded,Sema,%0,true,true
err_diagnose_if_unexpected_value,Sema,unexpected value; use 'true' or 'false',false,false
err_diagnose_if_unknown_option,Sema,unknown diagnostic option,false,false
err_different_asm_label,Sema,conflicting asm label,false,true
err_different_language_linkage,Sema,declaration of %0 has a different language linkage,true,true
err_dimension_expr_not_constant_integer,Sema,dimension expression does not evaluate to a constant unsigned int,false,true
err_direct_selector_expression,Sema,@selector expression formed with direct selector %0,false,true
err_directory_scanning,InstallAPI,could not read directory '%0': %1,false,true
err_disallowed_duplicate_attribute,Sema,attribute %0 cannot appear more than once on a declaration,false,true
err_drv_I_dash_not_supported,Driver,"'%0' not supported, please use -iquote instead",false,true
err_drv_Xopenmp_target_missing_triple,Driver,"cannot deduce implicit triple value for -Xopenmp-target, specify triple using -Xopenmp-target=<triple>",false,true
err_drv_alignment_not_power_of_two,Driver,alignment is not a power of 2 in '%0',false,true
err_drv_amdgpu_ieee_without_no_honor_nans,Driver,invalid argument '-mno-amdgpu-ieee' only allowed with relaxed NaN handling,false,true
err_drv_arg_requires_bitcode_input,Driver,option '%0' requires input to be LLVM bitcode,false,true
err_drv_argument_not_allowed_with,Driver,invalid argument '%0' not allowed with '%1',true,true
err_drv_argument_only_allowed_with,Driver,invalid argument '%0' only allowed with '%1',true,true
err_drv_bad_offload_arch_combo,Driver,"invalid offload arch combinations: '%0' and '%1' (for a specific processor, a feature should either exist in all offload archs, or not exist in any offload archs)",false,true
err_drv_bad_target_id,Driver,"invalid target ID '%0'; format is a processor name followed by an optional colon-delimited list of features followed by an enable/disable sign (e.g., 'gfx908:sramecc+:xnack-')",false,true
err_drv_bitcode_unsupported_on_toolchain,Driver,-fembed-bitcode is not supported on versions of iOS prior to 6.0,false,true
err_drv_cannot_mix_options,Driver,cannot specify '%1' along with '%0',false,true
err_drv_cannot_open_config_file,Driver,configuration file '%0' cannot be opened: %1,false,true
err_drv_cannot_open_randomize_layout_seed_file,Driver,cannot read randomize layout seed file '%0',false,true
err_drv_cannot_read_config_file,Driver,cannot read configuration file '%0': %1,false,true
err_drv_cc_print_options_failure,Driver,unable to open CC_PRINT_OPTIONS file: %0,false,true
err_drv_clang_unsupported,Driver,the clang compiler does not support '%0',false,true
err_drv_clang_unsupported_opt_cxx_darwin_i386,Driver,the clang compiler does not support '%0' for C++ on Darwin/i386,false,true
err_drv_clang_unsupported_opt_faltivec,Driver,"the clang compiler does not support '%0', %1",false,true
err_drv_clang_unsupported_opt_pg_darwin,Driver,the clang compiler does not support -pg option on %select{Darwin|versions of OS X 10.9 and later}0,false,true
err_drv_command_failed,Driver,%0 command failed with exit code %1 (use -v to see invocation),false,true
err_drv_command_failure,Driver,unable to execute command: %0,false,true
err_drv_command_signalled,Driver,%0 command failed due to signal (use -v to see invocation),false,true
err_drv_compilationdatabase,Driver,compilation database '%0' could not be opened: %1,false,true
err_drv_config_file_not_found,Driver,configuration file '%0' cannot be found,false,true
err_drv_conflicting_deployment_targets,Driver,"conflicting deployment targets, both '%0' and '%1' are present in environment",false,true
err_drv_cuda_bad_gpu_arch,Driver,unsupported CUDA gpu architecture: %0,false,false
err_drv_cuda_host_arch,Driver,unsupported architecture '%0' for host compilation,false,true
err_drv_cuda_offload_only_emit_bc,Driver,CUDA offload target is supported only along with --emit-llvm,false,false
err_drv_cuda_version_unsupported,Driver,"GPU arch %0 is supported by CUDA versions between %1 and %2 (inclusive), but installation at %3 is %4; use '--cuda-path' to specify a different CUDA install, pass a different GPU arch with '--cuda-gpu-arch', or pass '--no-cuda-version-check'",false,true
err_drv_darwin_sdk_missing_arclite,Driver,SDK does not contain 'libarclite' at the path '%0'; try increasing the minimum deployment target,false,true
err_drv_defsym_invalid_format,Driver,defsym must be of the form: sym=value: %0,false,true
err_drv_defsym_invalid_symval,Driver,value is not an integer: %0,false,true
err_drv_duplicate_config,Driver,no more than one option '--config' is allowed,false,false
err_drv_dxc_invalid_matrix_layout,Driver,cannot specify /Zpr and /Zpc together,false,true
err_drv_dxc_missing_target_profile,Driver,target profile option (-T) is missing,false,true
err_drv_emit_llvm_link,Driver,-emit-llvm cannot be used when linking,false,true
err_drv_expand_response_file,Driver,failed to expand response file: %0,false,true
err_drv_expecting_fopenmp_with_fopenmp_targets,Driver,"'-fopenmp-targets' must be used in conjunction with a '-fopenmp' option compatible with offloading; e.g., '-fopenmp=libomp' or '-fopenmp=libiomp5'",false,true
err_drv_experimental_crel,Driver,"-Wa,--allow-experimental-crel must be specified to use -Wa,--crel. CREL is experimental and uses a non-standard section type code",false,true
err_drv_experimental_sframe,Driver,"-Wa,--allow-experimental-sframe must be specified to use -Wa,--gsframe. SFrames are experimental and may be removed at any time without warning",false,true
err_drv_extract_api_wrong_kind,Driver,header file '%0' input '%1' does not match the type of prior input in api extraction; use '-x %2' to override,false,true
err_drv_failed_to_deduce_target_from_arch,Driver,failed to deduce triple for target architecture '%0'; specify the triple using '-fopenmp-targets' and '-Xopenmp-target' instead,false,true
err_drv_force_crash,Driver,failing because %select{environment variable 'FORCE_CLANG_DIAGNOSTICS_CRASH' is set|'-gen-reproducer' is used}0,true,true
err_drv_gnustep_objc_runtime_incompatible_binary,Driver,GNUstep Objective-C runtime version %0 incompatible with target binary format,false,true
err_drv_header_unit_extra_inputs,Driver,multiple inputs are not valid for header units (first extra '%0'),false,true
err_drv_hipspv_no_hip_path,Driver,'--hip-path' must be specified when offloading to SPIR-V unless '-nogpuinc' is given,false,true
err_drv_hlsl_16bit_types_unsupported,Driver,"'%0' option requires target HLSL Version >= 2018%select{| and shader model >= 6.2}1, but HLSL Version is '%2'%select{| and shader model is '%3'}1",false,true
err_drv_hlsl_bad_shader_required_in_target,Driver,%select{shader model|Vulkan environment|shader stage}0 is required as %select{OS|environment}1 in target '%2' for HLSL code generation,false,true
err_drv_hlsl_bad_shader_unsupported,Driver,%select{shader model|Vulkan environment|shader stage}0 '%1' in target '%2' is invalid for HLSL code generation,false,true
err_drv_hlsl_unsupported_target,Driver,HLSL code generation is unsupported for target '%0',false,true
err_drv_incompatible_omp_arch,Driver,OpenMP target architecture '%0' pointer size is incompatible with host '%1',false,true
err_drv_incompatible_options,Driver,the combination of '%0' and '%1' is incompatible,false,true
err_drv_incompatible_unwindlib,Driver,--rtlib=libgcc requires --unwindlib=libgcc,false,true
err_drv_invalid_Xarch_argument_with_args,Driver,"invalid Xarch argument: '%0', options requiring arguments are unsupported",false,true
err_drv_invalid_Xopenmp_target_with_args,Driver,"invalid -Xopenmp-target argument: '%0', options requiring arguments are unsupported",false,true
err_drv_invalid_arch_name,Driver,invalid arch name '%0',false,true
err_drv_invalid_argument_to_option,Driver,invalid argument '%0' to -%1,false,true
err_drv_invalid_cf_runtime_abi,Driver,"invalid CoreFoundation Runtime ABI '%0'; must be one of 'objc', 'standalone', 'swift', 'swift-5.0', 'swift-4.2', 'swift-4.1'",false,true
err_drv_invalid_darwin_version,Driver,invalid Darwin version number: %0,false,true
err_drv_invalid_diagnotics_hotness_threshold,Driver,"invalid argument in '%0', only integer or 'auto' is supported",false,true
err_drv_invalid_diagnotics_misexpect_tolerance,Driver,"invalid argument in '%0', only integers are supported",false,true
err_drv_invalid_directx_shader_module,Driver,invalid profile : %0,false,true
err_drv_invalid_empty_dxil_validator_version,Driver,"invalid validator version : %0; if validator major version is 0, minor version must also be 0",false,true
err_drv_invalid_format_dxil_validator_version,Driver,"invalid validator version : %0; format of validator version is ""<major>.<minor>"" (ex:""1.4"")",false,true
err_drv_invalid_gcc_install_dir,Driver,'%0' does not contain a GCC installation,false,true
err_drv_invalid_gcc_output_type,Driver,invalid output type '%0' for use with gcc tool,false,true
err_drv_invalid_int_value,Driver,invalid integral value '%1' in '%0',false,true
err_drv_invalid_linker_name,Driver,invalid linker name in argument '%0',false,true
err_drv_invalid_malign_branch_EQ,Driver,invalid argument '%0' to -malign-branch=; each element must be one of: %1,false,true
err_drv_invalid_mfloat_abi,Driver,invalid float ABI '%0',false,true
err_drv_invalid_mtp,Driver,invalid thread pointer reading mode '%0',false,true
err_drv_invalid_object_mode,Driver,OBJECT_MODE setting %0 is not recognized and is not a valid setting,false,true
err_drv_invalid_omp_target,Driver,OpenMP target is invalid: '%0',false,true
err_drv_invalid_or_unsupported_offload_target,Driver,invalid or unsupported offload target: '%0',false,true
err_drv_invalid_os_in_arg,Driver,invalid OS value '%0' in '%1',false,true
err_drv_invalid_output_with_multiple_archs,Driver,cannot use '%0' output with multiple -arch options,false,true
err_drv_invalid_range_dxil_validator_version,Driver,invalid validator version : %0; validator version must be less than or equal to current internal version,false,true
err_drv_invalid_remap_file,Driver,invalid option '%0' not of the form <from-file>;<to-file>,false,true
err_drv_invalid_riscv_arch_name,Driver,"invalid arch name '%0', %1",false,true
err_drv_invalid_riscv_cpu_name_for_target,Driver,cpu '%0' does not support rv%select{32|64}1,false,true
err_drv_invalid_rtlib_name,Driver,invalid runtime library name in argument '%0',false,true
err_drv_invalid_stdlib_name,Driver,invalid library name in argument '%0',false,true
err_drv_invalid_thread_model_for_target,Driver,invalid thread model '%0' in '%1' for this target,false,true
err_drv_invalid_unwindlib_name,Driver,invalid unwind library name in argument '%0',false,true
err_drv_invalid_value,Driver,invalid value '%1' in '%0',false,true
err_drv_invalid_value_with_suggestion,Driver,"invalid value '%1' in '%0', expected one of: %2",false,true
err_drv_invalid_version_number,Driver,invalid version number in '%0',false,true
err_drv_invalid_version_number_inferred,Driver,invalid version number '%0' inferred from '%1',false,true
err_drv_kcfi_arity_unsupported_target,Driver,target '%0' is unsupported by -fsanitize-kcfi-arity,false,true
err_drv_libclc_not_found,Driver,no libclc library '%0' found in the clang resource directory,false,true
err_drv_loongarch_invalid_mfpu_EQ,Driver,"invalid argument '%0' to -mfpu=; must be one of: 64, 32, none, 0 (alias for none)",false,true
err_drv_loongarch_invalid_msimd_EQ,Driver,"invalid argument '%0' to -msimd=; must be one of: none, lsx, lasx",false,true
err_drv_loongarch_invalid_simd_option_combination,Driver,invalid option combination; LASX depends on LSX,false,true
err_drv_loongarch_wrong_fpu_width,Driver,wrong fpu width; %select{LSX|LASX}0 depends on 64-bit FPU,false,true
err_drv_lto_without_lld,Driver,LTO requires -fuse-ld=lld,false,true
err_drv_malformed_sanitizer_coverage_allowlist,Driver,malformed sanitizer coverage allowlist: '%0',false,true
err_drv_malformed_sanitizer_coverage_ignorelist,Driver,malformed sanitizer coverage ignorelist: '%0',false,true
err_drv_malformed_sanitizer_ignorelist,Driver,malformed sanitizer ignorelist: '%0',false,true
err_drv_malformed_sanitizer_metadata_ignorelist,Driver,malformed sanitizer metadata ignorelist: '%0',false,true
err_drv_malformed_warning_suppression_mapping,Driver,failed to process suppression mapping file '%0': %1,false,true
err_drv_mg_requires_m_or_mm,Driver,option '-MG' requires '-M' or '-MM',false,true
err_drv_missing_arg_mtp,Driver,missing argument to '%0',false,true
err_drv_missing_argument,Driver,argument to '%0' is missing (expected %1 value%s1),false,true
err_drv_missing_sanitizer_ignorelist,Driver,missing sanitizer ignorelist: '%0',false,true
err_drv_missing_symbol_graph_dir,Driver,must provide a symbol graph output directory using '--symbol-graph-dir=<directory>',false,true
err_drv_missing_version_number,Driver,missing version number in '%0',false,true
err_drv_mix_cuda_hip,Driver,mixed CUDA and HIP compilation is not supported,false,false
err_drv_mix_offload,Driver,mixed %0 and %1 offloading compilation is not supported,false,true
err_drv_module_header_wrong_kind,Driver,header file '%0' input type '%1' does not match type of prior input in module compilation; use '-x %2' to override,false,false
err_drv_module_output_with_multiple_arch,Driver,option '-fmodule-output' cannot be used with multiple arch options,true,true
err_drv_modules_validate_once_requires_timestamp,Driver,option '-fmodules-validate-once-per-build-session' requires '-fbuild-session-timestamp=<seconds since Epoch>' or '-fbuild-session-file=<file>',true,true
err_drv_multilib_custom_error,Driver,multilib configuration error: %0,false,true
err_drv_needs_hvx,Driver,"%0 requires HVX, use -mhvx/-mhvx= to enable it",false,true
err_drv_needs_hvx_version,Driver,%0 is not supported on HVX %1,false,true
err_drv_negative_columns,Driver,"invalid value '%1' in '%0', value must be 'none' or a positive integer",false,false
err_drv_no_ast_support,Driver,'%0': unable to use AST files with this tool,false,true
err_drv_no_cuda_installation,Driver,"cannot find CUDA installation; provide its path via '--cuda-path', or pass '-nocudainc' to build without CUDA includes",false,true
err_drv_no_cuda_libdevice,Driver,"cannot find libdevice for %0; provide path to different CUDA installation via '--cuda-path', or pass '-nocudalib' to build without linking with libdevice",false,true
err_drv_no_hip_runtime,Driver,"cannot find HIP runtime; provide its path via '--rocm-path', or pass '-nogpuinc' to build without HIP runtime",false,true
err_drv_no_hipspv_device_lib,Driver,"cannot find HIP device library%select{| for %1}0; provide its path via '--hip-path' or '--hip-device-lib-path', or pass '-nogpulib' to build without HIP device library",false,true
err_drv_no_hipstdpar_lib,Driver,cannot find HIP Standard Parallelism Acceleration library; provide it via '--hipstdpar-path',false,true
err_drv_no_hipstdpar_prim_lib,Driver,"cannot find rocPrim, which is required by the HIP Standard Parallelism Acceleration library; provide it via '--hipstdpar-prim-path'",false,true
err_drv_no_hipstdpar_thrust_lib,Driver,"cannot find rocThrust, which is required by the HIP Standard Parallelism Acceleration library; provide it via '--hipstdpar-thrust-path'",false,true
err_drv_no_input_files,Driver,no input files,false,true
err_drv_no_linker_llvm_support,Driver,'%0': unable to pass LLVM bit-code files to linker,false,true
err_drv_no_module_support,Driver,'%0': unable to use module files with this tool,false,true
err_drv_no_neon_modifier,Driver,"[no]neon is not accepted as modifier, please use [no]simd instead",false,true
err_drv_no_rocm_device_lib,Driver,"cannot find ROCm device library%select{| for %1| for ABI version %1%select{|, which requires ROCm %3 or higher}2}0; provide its path via '--rocm-path' or '--rocm-device-lib-path', or pass '-nogpulib' to build without ROCm device library",false,true
err_drv_no_spv_tools,Driver,"cannot find SPIR-V Tools binary '%0', which is required for SPIR-V compilation. It can be obtained from your system package manager or from KhronosGroup/SPIRV-Tools on GitHub",false,true
err_drv_no_such_file,Driver,no such file or directory: '%0',true,true
err_drv_no_such_file_with_suggestion,Driver,no such file or directory: '%0'; did you mean '%1'?,false,true
err_drv_offload_bad_gpu_arch,Driver,unsupported %0 gpu architecture: %1,false,true
err_drv_offload_missing_gpu_arch,Driver,must pass in an explicit %0 gpu architecture to '%1',false,true
err_drv_omp_host_target_not_supported,Driver,target '%0' is not a supported OpenMP host target,false,true
err_drv_omp_offload_target_bcruntime_not_found,Driver,bitcode library '%0' does not exist,false,true
err_drv_omp_offload_target_cuda_version_not_support,Driver,NVPTX target requires CUDA 9.2 or above; CUDA %0 detected,false,true
err_drv_omp_offload_target_missingbcruntime,Driver,no library '%0' found in the default clang lib directory or in LIBRARY_PATH; use '--libomptarget-%1-bc-path' to specify %1 bitcode library,false,true
err_drv_only_one_offload_target_supported,Driver,only one offload target is supported,false,false
err_drv_opt_unsupported_input_type,Driver,'%0' invalid for input of type %1,false,true
err_drv_optimization_remark_format,Driver,unknown remark serializer format: '%0',false,true
err_drv_optimization_remark_pattern,Driver,in pattern '%1': %0,false,true
err_drv_out_file_argument_with_multiple_sources,Driver,cannot specify '%0%1' when compiling multiple source files,false,true
err_drv_output_argument_with_multiple_files,Driver,cannot specify -o when generating multiple output files,false,true
err_drv_preamble_format,Driver,"incorrect format for -preamble-bytes=N,END",false,true
err_drv_print_header_cc1_invalid_combination,Driver,unsupported combination: -header-include-format=%0 and -header-include-filtering=%1,false,true
err_drv_print_header_cc1_invalid_filtering,Driver,-header-include-filtering=%0 requires a compatible value for -header-include-format,false,true
err_drv_print_header_cc1_invalid_format,Driver,-header-include-format=%0 requires a compatible value for -header-include-filtering,false,true
err_drv_print_header_env_var,Driver,environment variable CC_PRINT_HEADERS_%select{FORMAT|FILTERING}0 has invalid value %1,false,true
err_drv_print_header_env_var_combination,Driver,unsupported combination: CC_PRINT_HEADERS_FORMAT=%0 and CC_PRINT_HEADERS_FILTERING=%1,true,true
err_drv_print_header_env_var_invalid_format,Driver,environment variable CC_PRINT_HEADERS_FORMAT=%0 requires a compatible value for CC_PRINT_HEADERS_FILTERING,true,true
err_drv_profile_instrument_use_path_with_no_kind,Driver,option '-fprofile-instrument-use-path=' requires -fprofile-instrument-use=<kind>,false,true
err_drv_ropi_incompatible_with_cxx,Driver,ROPI is not compatible with c++,false,true
err_drv_ropi_rwpi_incompatible_with_pic,Driver,embedded and GOT-based position independence are incompatible,false,true
err_drv_small_columns,Driver,"invalid value '%1' in '%0', value must be '%2' or greater",false,false
err_drv_ssp_missing_offset_argument,Driver,"'%0' is used without '-mstack-protector-guard-offset', and there is no default",false,true
err_drv_target_variant_invalid,Driver,unsupported '%0' value '%1'; use 'ios-macabi' instead,false,true
err_drv_too_many_actions,Driver,only one action option is allowed. Got %0,false,false
err_drv_triple_version_invalid,Driver,version '%0' in target triple '%1' is invalid,false,true
err_drv_trivial_auto_var_init_max_size_invalid_value,Driver,'-ftrivial-auto-var-init-max-size=*' only accepts positive integers (in bytes),false,true
err_drv_trivial_auto_var_init_max_size_missing_dependency,Driver,'-ftrivial-auto-var-init-max-size=*' is used without '-ftrivial-auto-var-init=zero' or '-ftrivial-auto-var-init=pattern',false,true
err_drv_trivial_auto_var_init_stop_after_invalid_value,Driver,'-ftrivial-auto-var-init-stop-after=*' only accepts positive integers,false,true
err_drv_trivial_auto_var_init_stop_after_missing_dependency,Driver,'-ftrivial-auto-var-init-stop-after=*' is used without '-ftrivial-auto-var-init=zero' or '-ftrivial-auto-var-init=pattern',false,true
err_drv_unable_to_remove_file,Driver,unable to remove file: %0,false,true
err_drv_unable_to_set_working_directory,Driver,unable to set working directory: %0,false,true
err_drv_undetermined_gpu_arch,Driver,"cannot determine %0 architecture: %1; consider passing it via '%2'; environment variable CLANG_TOOLCHAIN_PROGRAM_TIMEOUT specifies the tool timeout (integer secs, <=0 is infinite)",false,true
err_drv_unexpected_symbol_graph_output,Driver,unexpected output symbol graph '%1'; please provide '--symbol-graph-dir=<directory>' instead,false,true
err_drv_unknown_argument,Driver,unknown argument: '%0',false,true
err_drv_unknown_argument_with_suggestion,Driver,unknown argument '%0'; did you mean '%1'?,false,true
err_drv_unknown_indirect_jump_opt,Driver,unknown '-mindirect-jump=' option '%0',false,true
err_drv_unknown_language,Driver,language not recognized: '%0',false,true
err_drv_unknown_objc_runtime,Driver,unknown or ill-formed Objective-C runtime '%0',false,true
err_drv_unknown_stdin_type,Driver,-E or -x required when input is from standard input,false,true
err_drv_unknown_stdin_type_clang_cl,Driver,use /Tc or /Tp to set input type for standard input,false,true
err_drv_unknown_target_triple,Driver,unknown target triple '%0',false,false
err_drv_unsupported_embed_bitcode,Driver,%0 is not supported with -fembed-bitcode,false,true
err_drv_unsupported_fpatchable_function_entry_argument,Driver,the second argument of '-fpatchable-function-entry' must be smaller than the first argument,false,true
err_drv_unsupported_indirect_jump_opt,Driver,'-mindirect-jump=%0' is unsupported with the '%1' architecture,false,true
err_drv_unsupported_noabicalls_pic,Driver,position-independent code requires '-mabicalls',false,true
err_drv_unsupported_opt,Driver,unsupported option '%0',false,true
err_drv_unsupported_opt_for_language_mode,Driver,unsupported option '%0' for language mode '%1',false,true
err_drv_unsupported_opt_for_target,Driver,unsupported option '%0' for target '%1',false,true
err_drv_unsupported_opt_with_suggestion,Driver,unsupported option '%0'; did you mean '%1'?,false,true
err_drv_unsupported_option_argument,Driver,unsupported argument '%1' to option '%0',false,true
err_drv_unsupported_option_argument_for_target,Driver,unsupported argument '%1' to option '%0' for target '%2',false,true
err_drv_unsupported_option_for_offload_arch_req_feature,Driver,'%0' option for offload arch '%1' is not currently supported there. Use it with an offload arch containing '%2' instead,false,true
err_drv_unsupported_option_for_target,Driver,'%0' option is not currently supported for target '%1',false,true
err_drv_unsupported_option_part_for_target,Driver,'%0' in '%1' option is not currently supported for target '%2',false,true
err_drv_unsupported_rtlib_for_platform,Driver,unsupported runtime library '%0' for platform '%1',false,true
err_drv_unsupported_static_sanitizer_darwin,Driver,static %0 runtime is not supported on darwin,false,true
err_drv_unsupported_unwind_for_platform,Driver,unsupported unwind library '%0' for platform '%1',false,true
err_drv_using_omit_rtti_component_without_no_rtti,Driver,-fexperimental-omit-vtable-rtti call only be used with -fno-rtti,false,true
err_dup_implementation_category,Sema,reimplementation of category %1 for class %0,false,true
err_dup_implementation_class,Sema,reimplementation of class %0,true,true
err_duplicate_attribute,Sema,attribute %0 is already applied with different arguments,false,true
err_duplicate_class_def,Sema,duplicate interface definition for class %0,true,true
err_duplicate_declspec,Common,%sub{duplicate_declspec}0,false,true
err_duplicate_ivar_declaration,Sema,instance variable is already declared,false,true
err_duplicate_ivar_use,Sema,synthesized properties %0 and %1 both claim instance variable %2,true,true
err_duplicate_mangled_name,Frontend,definition with same mangled name '%0' as another definition,false,true
err_duplicate_method_decl,Sema,duplicate declaration of method %0,true,true
err_duplicate_property,Sema,property has a previous declaration,true,true
err_duplicate_target_attribute,Sema,%select{unsupported|duplicate|unknown}0%select{| CPU| tune CPU}1 '%2' in the '%select{target|target_clones|target_version}3' attribute string;,false,true
err_duplicated_vtable_pointer_auth,Sema,multiple vtable pointer authentication policies on %0,false,true
err_dylib_symbol_flags_mismatch,InstallAPI,"dynamic library symbol '%0' is %select{weak defined|thread local}1, but its declaration is not",false,true
err_dynamic_property_ivar_decl,Sema,dynamic property cannot have instance variable specification,false,true
err_dynamic_var_init,Sema,"dynamic initialization is not supported for __device__, __constant__, __shared__, and __managed__ variables",false,true
err_early_catch_all,Sema,catch-all handler must come last,false,true
err_embedded_directive,Lex,embedding a #%0 directive within macro arguments is not supported,true,true
err_empty_sizeless_initializer,Sema,initializer for sizeless type %0 cannot be empty,false,true
err_enum_mode_vector_type,Sema,mode %0 is not supported for enumeration types,true,true
err_enum_redeclare_fixed_mismatch,Sema,enumeration previously declared with %select{non|}0fixed underlying type,false,true
err_enumerator_does_not_exist,Sema,enumerator %0 does not exist in instantiation of %1,true,true
err_enumerator_too_large,Sema,enumerator value is not representable in the underlying type %0,false,true
err_enumerator_wrapped,Sema,enumerator value %0 is not representable in the underlying type %1,true,true
err_event_t_addr_space_qual,Sema,the event_t type can only be used with __private address space qualifier,false,true
err_except_spec_unparsed,Parse,unexpected end of exception specification,false,true
err_exception_spec_cycle,Sema,exception specification of %0 uses itself,true,true
err_exception_spec_incomplete_type,Sema,exception specification needed for member of incomplete class %0,false,true
err_exception_spec_not_parsed,Sema,exception specification is not available until end of class definition,true,true
err_excess_initializers_for_sizeless_type,Sema,excess elements in initializer for indivisible sizeless type %0,false,true
err_expected_allocator_clause,Sema,expected an 'allocator' clause inside of the target region; provide an 'allocator' clause or use 'requires' directive with the 'dynamic_allocators' clause,true,true
err_expected_allocator_expression,Sema,expected an allocator expression inside of the target region; provide an allocator expression or use 'requires' directive with the 'dynamic_allocators' clause,false,true
err_expected_begin_assumes,Parse,'#pragma omp end assumes' with no matching '#pragma omp begin assumes',false,true
err_expected_begin_declare_variant,Parse,'#pragma omp end declare variant' with no matching '#pragma omp begin declare variant',false,true
err_expected_callable_argument,Sema,"expected a callable expression as %ordinal0 argument to %1, found %2",false,true
err_expected_colon_after_setter_name,Common,method name referenced in property setter attribute must end with ':',false,true
err_expected_coloncolon_after_super,Parse,expected '::' after '__super',false,true
err_expected_end_declare_target_or_variant,Parse,expected '#pragma omp end declare %select{target|variant}0',true,true
err_expected_fold_operator,Parse,expected a foldable binary operator in fold expression,false,true
err_expected_kernel_void_return_type,Sema,kernel must have void return type,false,true
err_expected_lbrace_in_compound_literal,Parse,expected '{' in compound literal,false,true
err_expected_member_name_or_semi_objcxx_keyword,Parse,expected member name or ';' after declaration specifiers; %0 is a keyword in Objective-C++,true,true
err_expected_method_body,Parse,expected method body,true,true
err_expected_minus_or_plus,Parse,method type specifier must start with '-' or '+',false,true
err_expected_objc_container,Parse,'@end' must appear in an Objective-C context,true,true
