metric,value
catalog_error_diagnostic_types,3891
strict_verified_diagnostic_types,1178
unique_portable_injectors,9342
injector_target_diagnostic_types,1415
injector_targets_not_strictly_verified,237
uncovered_catalog_error_types,2713
test_reachable_catalog_error_types,1444
test_reachable_strict_overlap,779
strict_fuzzlang_only_types,399
test_reachable_uncovered_types,665
