metric,value
catalog_error_diagnostic_types,3891
strict_verified_diagnostic_types,1106
unique_portable_injectors,8608
injector_target_diagnostic_types,1136
injector_targets_not_strictly_verified,30
uncovered_catalog_error_types,2785
test_reachable_catalog_error_types,1444
test_reachable_strict_overlap,707
strict_fuzzlang_only_types,399
test_reachable_uncovered_types,737
