metric,value
catalog_error_diagnostic_types,3891
strict_verified_diagnostic_types,1177
unique_portable_injectors,9341
injector_target_diagnostic_types,1415
injector_targets_not_strictly_verified,238
uncovered_catalog_error_types,2714
test_reachable_catalog_error_types,1444
test_reachable_strict_overlap,778
strict_fuzzlang_only_types,399
test_reachable_uncovered_types,666
