metric,value
catalog_error_diagnostic_types,3891
strict_verified_diagnostic_types,1181
unique_portable_injectors,9345
injector_target_diagnostic_types,1419
injector_targets_not_strictly_verified,238
uncovered_catalog_error_types,2710
test_reachable_catalog_error_types,1444
test_reachable_strict_overlap,782
strict_fuzzlang_only_types,399
test_reachable_uncovered_types,662
