diag_name,component,message_template,covered_only_by_opportunistic_record
err_mmap_config_macro_submodule,Lex,configuration macros are only allowed in top-level modules,false
err_mmap_conflicting_export_as,Lex,conflicting re-export of module '%0' as '%1' or '%2',false
err_mmap_duplicate_header_attribute,Lex,header attribute '%0' specified multiple times,false
err_mmap_expected_attribute,Lex,expected an attribute name,false
err_mmap_expected_config_macro,Lex,"expected configuration macro name after ','",false
err_mmap_expected_conflicts_comma,Lex,"expected ',' after conflicting module name",false
err_mmap_expected_conflicts_message,Lex,expected a message describing the conflict with '%0',false
err_mmap_expected_export_wildcard,Lex,only '*' can be exported from an inferred submodule,false
err_mmap_expected_feature,Lex,expected a feature name,false
err_mmap_expected_header,Lex,expected a header name after '%0',false
err_mmap_expected_header_attribute,Lex,expected a header attribute name ('size' or 'mtime'),false
err_mmap_expected_inferred_member,Lex,expected %select{module exclusion with 'exclude'|'export *'}0,false
err_mmap_expected_lbrace,Lex,expected '{' to start module '%0',false
err_mmap_expected_lbrace_wildcard,Lex,expected '{' to start inferred submodule,false
err_mmap_expected_library_name,Lex,expected %select{library|framework}0 name as a string,false
err_mmap_expected_member,Lex,"expected umbrella, header, submodule, or module export",false
err_mmap_expected_mmap_file,Lex,expected a module map file name,false
err_mmap_expected_module,Lex,expected module declaration,false
err_mmap_expected_module_name,Lex,expected module name,false
err_mmap_expected_rbrace,Lex,expected '}',false
err_mmap_expected_rsquare,Lex,expected ']' to close attribute,false
err_mmap_explicit_inferred_framework,Lex,inferred framework modules cannot be 'explicit',false
err_mmap_explicit_top_level,Lex,'explicit' is not permitted on top-level modules,false
err_mmap_inferred_framework_submodule,Lex,inferred submodule cannot be a framework submodule,false
err_mmap_inferred_no_umbrella,Lex,inferred submodules require a module with an umbrella,false
err_mmap_inferred_redef,Lex,redefinition of inferred submodule,false
err_mmap_invalid_header_attribute_value,Lex,expected integer literal as value for header attribute '%0',false
err_mmap_missing_exclude_name,Lex,expected excluded module name,false
err_mmap_missing_module_qualified,Lex,no module named '%0' in '%1',false
err_mmap_missing_module_unqualified,Lex,no module named '%0' visible from '%1',false
err_mmap_missing_parent_module,Lex,"no module named '%0' %select{found|in '%2'}1, parent module must be defined before the submodule",false
err_mmap_module_id,Lex,expected a module name or '*',false
err_mmap_module_redefinition,Lex,redefinition of module '%0',false
err_mmap_nested_submodule_id,Lex,qualified module name can only be used to define modules at the top level,false
err_mmap_qualified_export_as,Lex,a module can only be re-exported as another top-level module,false
err_mmap_submodule_export_as,Lex,only top-level modules can be re-exported as public,false
err_mmap_top_level_inferred_submodule,Lex,only submodules and framework modules may be inferred with wildcard syntax,false
err_mmap_umbrella_clash,Lex,umbrella for module '%0' already covers this directory,false
err_mmap_unknown_token,Lex,skipping stray token,false
err_mmap_use_decl_submodule,Lex,use declarations are only allowed in top-level modules,false
err_modifier_expected_colon,Parse,missing ':' after %0 modifier,false
err_module_build_disabled,Common,"module '%0' is needed but has not been provided, and implicit use of module files is disabled",false
err_module_build_shadowed_submodule,Common,build a shadowed submodule '%0',false
err_module_cycle,Common,cyclic dependency in module '%0': %1,false
err_module_declaration_missing,Sema,missing 'export module' declaration in module interface unit,false
err_module_declaration_missing_after_global_module_introducer,Sema,missing 'module' declaration at end of global module fragment introduced here,false
err_module_expected_ident,Parse,expected a module name after '%select{module|import}0',false
err_module_expected_semi,Parse,expected ';' after module name,false
err_module_fragment_exported,Parse,%select{global|private}0 module fragment cannot be exported,false
err_module_header_missing,Common,%select{|umbrella }0header '%1' not found,false
err_module_import_non_interface_nor_parition,Sema,import of module '%0' imported non C++20 importable modules,false
err_module_import_not_at_top_level_fatal,Sema,import of module '%0' appears within %1,false
err_module_interface_implementation_mismatch,Sema,missing 'export' specifier in module declaration while building module interface,false
err_module_not_built,Common,could not build module '%0',false
err_module_not_defined,Sema,definition of module '%0' is not available; use -fmodule-file= to specify path to precompiled module interface,false
err_module_not_found,Common,module '%0' not found,false
err_module_odr_violation_definition_data,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{%4 base %plural{1:class|:classes}4|%4 virtual base %plural{1:class|:classes}4|%ordinal4 base class with type %5|%ordinal4 %select{non-virtual|virtual}5 base class %6|%ordinal4 base class %5 with %select{public|protected|private|no}6 access specifier}3,false
err_module_odr_violation_different_definitions,AST,%q0 has different definitions in different modules; %select{definition in module '%2' is here|defined here}1,false
err_module_odr_violation_enum,AST,%q0 has different definitions in different modules; %select{definition in module '%2'|defined here}1 first difference is %select{enum that is %select{not scoped|scoped}4|enum scoped with keyword %select{struct|class}4|enum %select{without|with}4 specified type|enum with specified type %4|enum with %4 element%s4|%ordinal4 element has name %5|%ordinal4 element %5 %select{has|does not have}6 an initializer|%ordinal4 element %5 has an initializer|}3,false
err_module_odr_violation_field,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{field %4|field %4 with type %5|%select{non-|}5bit-field %4|bit-field %4 with one width expression|%select{non-|}5mutable field %4|field %4 with %select{no|an}5 initializer|field %4 with an initializer}3,false
err_module_odr_violation_function,AST,%q0 has different definitions in different modules; %select{definition in module '%2'|defined here}1 first difference is %select{return type is %4|%ordinal4 parameter with name %5|%ordinal4 parameter with type %5%select{| decayed from %7}6|%ordinal4 parameter with%select{out|}5 a default argument|%ordinal4 parameter with a default argument|function body}3,false
err_module_odr_violation_method_params,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{%select{method %5|constructor|destructor}4 that has %6 parameter%s6|%select{method %5|constructor|destructor}4 with %ordinal6 parameter of type %7%select{| decayed from %9}8|%select{method %5|constructor|destructor}4 with %ordinal6 parameter named %7}3,false
err_module_odr_violation_mismatch_decl,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{end of class|public access specifier|private access specifier|protected access specifier|static assert|field|method|type alias|typedef|data member|friend declaration|function template|method|instance variable|property}3,false
err_module_odr_violation_record,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{static assert with condition|static assert with message|static assert with %select{|no }4message|%select{method %5|constructor|destructor}4|%select{method %5|constructor|destructor}4 is %select{not deleted|deleted}6|%select{method %5|constructor|destructor}4 is %select{not defaulted|defaulted}6|%select{method %5|constructor|destructor}4 is %select{|pure }6%select{not virtual|virtual}7|%select{method %5|constructor|destructor}4 is %select{not static|static}6|%select{method %5|constructor|destructor}4 is %select{not volatile|volatile}6|%select{method %5|constructor|destructor}4 is %select{not const|const}6|%select{method %5|constructor|destructor}4 is %select{not inline|inline}6|%select{method %5|constructor|destructor}4 with %ordinal6 parameter with%select{out|}7 a default argument|%select{method %5|constructor|destructor}4 with %ordinal6 parameter with a default argument|%select{method %5|constructor|destructor}4 with %select{no |}6template arguments|%select{method %5|constructor|destructor}4 with %6 template argument%s6|%select{method %5|constructor|destructor}4 with %6 for %ordinal7 template argument|%select{method %5|constructor|destructor}4 with %select{no body|body}6|%select{method %5|constructor|destructor}4 with body|friend %select{class|function}4|friend %4|friend function %4|function template %4 with %5 template parameter%s5|function template %4 with %ordinal5 template parameter being a %select{type|non-type|template}6 template parameter|function template %4 with %ordinal5 template parameter %select{with no name|named %7}6|function template %4 with %ordinal5 template parameter with %select{no |}6default argument|function template %4 with %ordinal5 template parameter with default argument %6|function template %4 with %ordinal5 template parameter with one type|function template %4 with %ordinal5 template parameter %select{not |}6being a template parameter pack|}3,false
err_module_odr_violation_template_parameter,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{unnamed template parameter|template parameter %5|template parameter with %select{no |}4default argument|template parameter with default argument}3,false
err_module_odr_violation_typedef,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{%select{typedef|type alias}4 name %5|%select{typedef|type alias}4 %5 with underlying type %6}3,false
err_module_odr_violation_variable,AST,%q0 has different definitions in different modules; first difference is %select{definition in module '%2'|defined here}1 found %select{data member with name %4|data member %4 with type %5|data member %4 with%select{out|}5 an initializer|data member %4 with an initializer|data member %4 %select{is constexpr|is not constexpr}5}3,false
err_module_prebuilt,Common,error in loading module '%0' from prebuilt module path,false
err_module_private_local_class,Sema,local %select{struct|interface|union|class|enum}0 cannot be declared __module_private__,false
err_module_private_specialization,Sema,%select{template|partial|member}0 specialization cannot be declared __module_private__,false
err_module_rebuild_finalized,Common,cannot rebuild module '%0' as it is already finalized,false
err_module_redeclaration,Sema,translation unit contains multiple module declarations,false
err_module_redefinition,Sema,redefinition of module '%0',false
err_module_self_import,Sema,import of module '%0' appears within same top-level module '%1',false
err_module_self_import_cxx20,Sema,import of module '%0' appears within its own %select{interface|implementation}1,false
err_module_shadowed,Common,import of shadowed module '%0',false
err_module_unavailable,Common,module '%0' %select{is incompatible with|requires}1 feature '%2',false
err_module_unimported_use,Sema,%select{declaration|definition|default argument|explicit specialization|partial specialization}0 of %1 must be imported from module '%2' before it is required,false
err_module_unimported_use_header,Sema,%select{missing '#include'|missing '#include %3'}2; %select{||default argument of |explicit specialization of |partial specialization of }0%1 must be %select{declared|defined|defined|declared|declared}0 before it is used,false
err_module_unimported_use_multiple,Sema,%select{declaration|definition|default argument|explicit specialization|partial specialization}0 of %1 must be imported from one of the following modules before it is required:%2,false
err_multiple_decl_in_different_modules,Sema,declaration %0 attached to named module '%1' cannot be attached to other modules,false
err_multiple_mem_initialization,Sema,multiple initializations given for non-static member %0,true
err_musttail_callconv_mismatch,Sema,cannot perform a tail call to function%select{| %1}0 because it uses an incompatible calling convention,false
err_musttail_needs_trivial_args,Sema,"tail call requires that the return value, all parameters, and any temporaries created by the expression are trivially destructible",false
err_musttail_no_return,Sema,%0 attribute may not be used with no-return-attribute functions,false
err_musttail_no_variadic,Sema,%0 attribute may not be used with variadic functions,false
err_musttail_scope,Sema,cannot perform a tail call from this return statement,false
err_musttail_structors_forbidden,Sema,cannot perform a tail call %select{from|to}0 a %select{constructor|destructor}1,false
err_mutable_const,Sema,'mutable' and 'const' cannot be mixed,false
err_need_header_before_placement_new,Sema,no matching %0 function for non-allocating placement new expression; include <new>,false
err_nested_name_member_ref_lookup_ambiguous,Sema,lookup of %0 in member access expression is ambiguous,false
err_nested_name_spec_is_not_class,Sema,"%0 cannot appear before '::' because it is not a class%select{ or namespace|, namespace, or enumeration}1; did you mean ':'?",false
err_nested_name_spec_non_tag,Sema,type %0 cannot be used prior to '::' because it has no members,true
err_nested_pointer_qualifier_mismatch,Sema,"%select{%diff{assigning to $ from $|assigning to different types}0,1|%diff{passing $ to parameter of type $|passing to parameter of different type}0,1|%diff{returning $ from a function with result type $|returning from function with different return type}0,1|%diff{converting $ to type $|converting between types}0,1|%diff{initializing $ with an expression of type $|initializing with expression of different type}0,1|%diff{sending $ to parameter of type $|sending to parameter of different type}0,1|%diff{casting $ to type $|casting between types}0,1}2 discards qualifiers in nested pointer types",false
err_new_array_nonconst,Sema,only the first dimension of an allocated array may have dynamic size,false
err_no_matching_local_friend_suggest,Sema,cannot define friend function %0 in a local class definition; did you mean %3?,false
err_no_matching_param,Parse,parameter named %0 is missing,false
err_no_viable_destructor,Sema,no viable destructor found for class %0,false
err_non_c_like_anon_struct_in_typedef,Sema,anonymous non-C-compatible type given name for linkage purposes by %select{typedef|alias}0 declaration after its linkage was computed; add a tag name here to establish linkage prior to definition,false
err_non_deduced_mismatch,Sema,"could not match %diff{$ against $|types}0,1",false
err_non_local_variable_decl_in_for,Sema,declaration of non-local variable in 'for' loop,false
err_non_temp_spec_requires_clause,Sema,%select{explicit|friend}0 specialization cannot have a trailing requires clause unless it declares a function template,false
err_non_template_in_member_template_id_suggest,Sema,member %0 of %1 is not a template; did you mean %select{|simply }2%3?,false
err_non_template_in_template_id_suggest,Sema,%0 does not name a template but is followed by template arguments; did you mean %1?,false
err_non_trivial_c_union_in_invalid_context,Sema,cannot %select{use type %1 for a function/method parameter|use type %1 for function/method return|default-initialize an object of type %1|declare an automatic variable of type %1|copy-initialize an object of type %1|assign to a variable of type %1|construct an automatic compound literal of type %1|capture a variable of type %1|cannot use volatile type %1 where it causes an lvalue-to-rvalue conversion}3 since it %select{contains|is}2 a union that is non-trivial to %select{default-initialize|destruct|copy}0,false
err_non_type_template_arg_addr_label_diff,Sema,template argument / label address difference / what did you expect?,false
err_non_type_template_parm_type_deduction_failure,Sema,non-type template parameter %0 with type %1 has incompatible initializer of type %2,false
err_non_variable_decl_in_for,Sema,non-variable declaration in 'for' loop,false
err_nontemporal_builtin_must_be_pointer,Sema,address argument to nontemporal builtin must be a pointer (%0 invalid),false
err_nontemporal_builtin_must_be_pointer_intfltptr_or_vector,Sema,"address argument to nontemporal builtin must be a pointer to integer, float, pointer, or a vector of such types (%0 invalid)",false
err_noreturn_has_return_expr,Sema,%select{function|block|lambda|coroutine}0 declared 'noreturn' should not return,false
err_not_class_template_specialization,Sema,cannot specialize a %select{dependent template|template template parameter}0,false
err_not_integral_type_anon_bitfield,Sema,anonymous bit-field has non-integral type %0,false
err_nullptr_cast,Sema,cannot cast an object of type %select{'nullptr_t' to %1|%1 to 'nullptr_t'}0,false
err_odr_different_num_template_parameters,AST,template parameter lists have a different number of parameters (%0 vs %1),false
err_odr_different_template_parameter_kind,AST,template parameter has different kinds in different translation units,false
err_odr_field_type_inconsistent,AST,field %0 declared with incompatible types in different translation units (%1 vs. %2),false
err_odr_function_type_inconsistent,AST,external function %0 declared with incompatible types in different translation units (%1 vs. %2),false
err_odr_non_type_parameter_type_inconsistent,AST,non-type template parameter declared with incompatible types in different translation units (%0 vs. %1),false
err_odr_parameter_pack_non_pack,AST,parameter kind mismatch; parameter is %select{not a|a}0 parameter pack,false
err_odr_tag_type_inconsistent,AST,type %0 has incompatible definitions%select{| in different translation units}1,false
err_odr_variable_multiple_def,AST,external variable %0 defined in multiple translation units,false
err_odr_variable_type_inconsistent,AST,external variable %0 declared with incompatible types in different translation units (%1 vs. %2),false
err_offsetof_array_type,Sema,"offsetof requires array type, %0 invalid",false
err_operator_arrow_depth_exceeded,Sema,use of 'operator->' on type %0 would invoke a sequence of more than %1 'operator->' calls,false
err_operator_new_delete_invalid_result_type,Sema,%0 must return type %1,false
err_operator_overload_post_incdec_must_be_int,Sema,parameter of overloaded post-%select{increment|decrement}1 operator must have type 'int' (not %0),false
err_opt_not_valid_with_opt,Common,option '%0' cannot be specified with '%1',false
err_opt_not_valid_without_opt,Common,option '%0' cannot be specified without '%1',false
err_os_log_format_not_string_constant,Sema,os_log() format argument is not a string constant,false
err_out_of_line_qualified_id_type_names_constructor,Sema,qualified reference to %0 is a constructor name rather than a %select{template name|type}1 in this context,true
err_override_exception_spec,Sema,exception specification of overriding function is more lax than base version,false
err_ovl_ambiguous_call,Sema,call to %0 is ambiguous,false
err_ovl_ambiguous_init,Sema,call to constructor of %0 is ambiguous,false
err_ovl_ambiguous_member_call,Sema,call to member function %0 is ambiguous,false
err_ovl_ambiguous_object_call,Sema,call to object of type %0 is ambiguous,false
err_ovl_ambiguous_oper_binary,Sema,use of overloaded operator '%0' is ambiguous (with operand types %1 and %2),false
err_ovl_deleted_call,Sema,call to deleted%select{| member}0 function %1%select{|: %3}2,false
err_ovl_deleted_special_oper,Sema,object of type %0 cannot be %select{constructed|copied|moved|assigned|assigned|destroyed}1 because its %sub{select_special_member_kind}1 is implicitly deleted,false
err_ovl_no_viable_object_call,Sema,no matching function for call to object of type %0,true
err_ovl_no_viable_subscript,Sema,no viable overloaded operator[] for type %0,false
err_pack_expansion_length_conflict,Sema,pack expansion contains parameter packs %0 and %1 that have different lengths (%2 vs. %select{|at least }3%4),false
err_pack_expansion_length_conflict_multilevel,Sema,pack expansion contains parameter pack %0 that has a different length (%1 vs. %select{|at least }2%3) from outer parameter packs,false
err_pack_expansion_length_conflict_partial,Sema,pack expansion contains parameter pack %0 that has a different length (at least %1 vs. %2) from outer parameter packs,false
err_pack_expansion_without_parameter_packs,Sema,pack expansion does not contain any unexpanded parameter packs,true
err_pack_index_out_of_bound,Sema,invalid index %0 for pack %1 of size %2,false
err_param_default_argument_references_this,Sema,default argument references 'this',false
err_param_redefinition,Common,redefinition of parameter %0,true
err_paren_sizeof_parameter_pack,Parse,missing parentheses around the size of parameter pack %0,false
err_parens_pointer_member_function,Sema,cannot parenthesize the name of a method when forming a member pointer,false
err_partial_spec_redeclared,Sema,class template partial specialization %0 cannot be redeclared,false
err_partition_import_outside_module,Parse,module partition imports must be within a module purview,false
err_placeholder_constraints_not_satisfied,Sema,deduced type %0 does not satisfy %1,false
err_placement_new_non_placement_delete,Sema,'new' expression with placement arguments refers to non-placement 'operator delete',false
err_pp_colon_without_question,Lex,':' without preceding '?',false
err_pp_duplicate_name_in_arg_list,Lex,duplicate macro parameter name %0,false
err_pp_embed_dup_params,Lex,cannot specify parameter '%0' twice in the same '#embed' directive,false
err_pp_endif_without_if,Lex,#endif without #if,false
err_pp_error_opening_file,Lex,error opening file '%0': %1,false
err_pp_expected_ident_in_arg_list,Lex,expected identifier in macro parameter list,false
err_pp_expected_module_name,Lex,expected %select{identifier after '.' in |}0module name,false
err_pp_expected_rparen,Lex,expected ')' in preprocessor expression,false
err_pp_expects_filename,Lex,"expected ""FILENAME"" or <FILENAME>",false
err_pp_file_not_found_angled_include_not_fatal,Lex,"'%0' file not found with <angled> %select{include|import}1; use ""quotes"" instead",false
err_pp_file_not_found_typo_not_fatal,Lex,"'%0' file not found, did you mean '%1'?",false
err_pp_hash_error,Lex,%0,false
err_pp_identifier_arg_not_identifier,Lex,cannot convert %0 token to an identifier,false
err_pp_illegal_floating_literal,Lex,floating point literal in preprocessor expression,false
err_pp_include_too_deep,Lex,#include nested too deeply,false
err_pp_including_mainfile_in_preamble,Lex,main file cannot be included recursively when building a preamble,false
err_pp_invalid_poison,Lex,can only poison identifier tokens,false
err_pp_invalid_udl,Lex,%select{character|integer}0 literal with user-defined suffix cannot be used in preprocessor constant expression,false
err_pp_line_digit_sequence,Lex,%select{#line|GNU line marker}0 directive requires a simple digit sequence,false
err_pp_line_invalid_filename,Lex,invalid filename for #line directive,false
err_pp_linemarker_invalid_filename,Lex,invalid filename for line marker directive,false
err_pp_linemarker_invalid_flag,Lex,invalid flag line marker directive,false
err_pp_linemarker_requires_integer,Lex,line marker directive requires a positive integer argument,false
err_pp_malformed_ident,Lex,invalid #ident directive,false
err_pp_missing_rparen_in_macro_def,Lex,missing ')' in macro parameter list,false
err_pp_nested_paren,Lex,nested parentheses not permitted in %0,false
err_pp_remainder_by_zero,Lex,remainder by zero in preprocessor expression,false
err_pp_through_header_not_found,Lex,'%0' required for precompiled header not found,false
err_pp_through_header_not_seen,Lex,#include of '%0' not seen while attempting to %select{create|use}1 precompiled header,false
err_pp_vaopt_nested_use,Lex,__VA_OPT__ cannot be nested within its own replacement tokens,false
err_pragma_attr_attr_no_push,Sema,'#pragma clang attribute' attribute with no matching '#pragma clang attribute push',false
err_pragma_attribute_duplicate_subject,Parse,duplicate attribute subject matcher '%0',false
err_pragma_attribute_expected_attribute,Parse,expected an attribute after '(',false
err_pragma_attribute_expected_attribute_name,Parse,expected identifier that represents an attribute name,false
err_pragma_attribute_expected_period,Parse,expected '.' after pragma attribute namespace %0,false
err_pragma_attribute_expected_push_pop_paren,Parse,"expected 'push', 'pop', or '(' after '#pragma clang attribute'",false
err_pragma_attribute_expected_subject_identifier,Parse,expected an identifier that corresponds to an attribute subject rule,false
err_pragma_attribute_expected_subject_sub_identifier,Parse,expected an identifier that corresponds to an attribute subject matcher sub-rule; '%0' matcher %select{does not support sub-rules|supports the following sub-rules: %2|}1,false
err_pragma_attribute_extra_tokens_after_attribute,Parse,extra tokens after attribute in a '#pragma clang attribute push',false
err_pragma_attribute_invalid_argument,Parse,unexpected argument '%0' to '#pragma clang attribute'; expected 'push' or 'pop',false
err_pragma_attribute_invalid_matchers,Sema,attribute %0 cannot be applied to %1,false
err_pragma_attribute_invalid_subject_set_specifier,Parse,expected attribute subject set specifier 'apply_to',false
err_pragma_attribute_matcher_negated_subrule_contradicts_subrule,Sema,negated attribute subject matcher sub-rule '%0' contradicts sub-rule '%1',false
err_pragma_attribute_namespace_on_attribute,Parse,namespace can only apply to 'push' or 'pop' directives,false
err_pragma_attribute_no_pop_eof,Sema,unterminated '#pragma clang attribute push' at end of file,false
err_pragma_attribute_unknown_subject_sub_rule,Parse,%select{invalid use of|unknown}2 attribute subject matcher sub-rule '%0'; '%1' matcher %select{does not support sub-rules|supports the following sub-rules: %3}2,false
err_pragma_expected_file_scope,Sema,'#pragma %0' can only appear at file scope,false
err_pragma_expected_integer,Parse,expected an integer argument in '#pragma %0',false
err_pragma_fenv_requires_precise,Sema,'#pragma STDC FENV_ACCESS ON' is illegal when precise is disabled,false
err_pragma_loop_invalid_argument_type,Sema,invalid argument of type %0; expected an integer type,false
err_pragma_loop_precedes_nonloop,Sema,"expected a for, while, or do-while loop to follow '%0'",false
err_pragma_message_malformed,Lex,pragma %select{message|warning|error}0 requires parenthesized string,false
err_pragma_pack_invalid_alignment,Sema,"expected #pragma pack parameter to be '1', '2', '4', '8', or '16'",false
err_pragma_push_pop_macro_malformed,Lex,pragma %0 requires a parenthesized string,false
err_pragma_push_visibility_mismatch,Sema,#pragma visibility push with no matching #pragma visibility pop,false
err_private_module_fragment_expected_semi,Parse,expected ';' after private module fragment declaration,false
err_private_module_fragment_not_module,Sema,private module fragment declaration with no preceding module declaration,false
err_private_module_fragment_not_module_interface,Sema,private module fragment in module implementation unit,false
err_private_module_fragment_redefined,Sema,private module fragment redefined,false
err_probability_not_constant_float,Sema,probability argument to __builtin_expect_with_probability must be constant floating-point expression,false
err_property_type,Sema,property cannot have array or function type %0,false
err_pseudo_dtor_call_with_args,Sema,call to pseudo-destructor cannot have any arguments,false
err_pure_friend,Sema,friend declaration cannot have a pure-specifier,false
err_qualified_function_typeid,Sema,type operand %0 of 'typeid' cannot have '%1' qualifier,false
err_qualified_member_nonclass,Sema,qualified member access refers to a member in %0,false
err_qualified_member_of_unrelated,Sema,%q0 is not a member of class %1,true
err_recursive_concept,Sema,a concept definition cannot refer to itself,true
err_recursive_default_argument,Sema,recursive evaluation of default argument,false
err_redeclaration_non_exported,Sema,cannot export redeclaration %0 here since the previous declaration %select{is not exported|has internal linkage|has module linkage}1,false
err_redefinition_extern_inline,Sema,redefinition of a 'extern inline' function %0 is not supported in %select{C99 mode|C++}1,false
err_ref_init_ambiguous,Sema,reference initialization of type %0 with initializer of type %1 is ambiguous,false
err_ref_non_value,Sema,%0 does not refer to a value,true
err_reference_bind_init_list,Sema,reference to type %0 cannot bind to an initializer list,false
err_reference_bind_to_matrix_element,Sema,%select{non-const|volatile}0 reference cannot bind to matrix element,false
err_reference_to_function_with_unsatisfied_constraints,Sema,invalid reference to function %0: constraints not satisfied,false
err_repeat_attribute,Sema,%0 attribute cannot be repeated,false
err_requires_clause_inside_parens,Parse,trailing requires clause should be placed outside parentheses,false
err_requires_expr_expected_type_constraint,Parse,expected concept name with optional arguments,false
err_requires_expr_in_simple_requirement,Parse,requires expression in requirement body; did you intend to place it in a nested requirement? (add another 'requires' before the expression),false
err_requires_expr_missing_arrow,Parse,expected '->' before expression type requirement,false
err_requires_expr_simple_requirement_noexcept,Parse,'noexcept' can only be used in a compound requirement (with '{' '}' around the expression),false
err_requires_positive_value,Common,%select{invalid value '%0'; must be positive|value '%0' is too large}1,false
err_ret_local_temp_ref,Sema,returning reference to local temporary object,false
err_return_in_captured_stmt,Sema,cannot return from %0,false
err_return_in_constructor_handler,Sema,return in the catch of a function try block of a constructor is illegal,false
err_return_in_coroutine,Sema,return statement not allowed in coroutine; did you mean 'co_return'?,false
err_rref_in_exception_spec,Sema,rvalue reference type %0 is not allowed in exception specification,false
err_selected_explicit_constructor,Sema,chosen constructor is explicit in copy-initialization,false
err_setting_eval_method_used_in_unsafe_context,Sema,%select{'#pragma clang fp eval_method'|option 'ffp-eval-method'}0 cannot be used with %select{option 'fapprox-func'|option 'mreassociate'|option 'freciprocal'|option 'ffp-eval-method'|'#pragma clang fp reassociate'|'#pragma clang fp reciprocal'}1,false
err_shift_rhs_only_vector,Sema,requested shift is a vector of type %0 but the first operand is not a vector (%1),false
err_shufflevector_argument_too_large,Sema,index for __builtin_shufflevector must be less than the total number of vector elements,false
err_shufflevector_minus_one_is_undefined_behavior_constexpr,Sema,index for __builtin_shufflevector not within the bounds of the input vectors; index of -1 found at position %0 is not permitted in a constexpr context,false
err_shufflevector_nonconstant_argument,Sema,index for __builtin_shufflevector must be a constant integer,false
err_size_t_literal_too_large,Common,%select{signed |}0'size_t' literal is out of range of possible %select{signed |}0'size_t' values,false
err_sizeless_in_exception_spec,Sema,%select{|reference to }0sizeless type %1 is not allowed in exception specification,false
err_sizeof_parameter_pack,Parse,expected parenthesized parameter pack name in 'sizeof...' expression,false
err_sloc_space_too_large,Common,translation unit is too large for Clang to process: ran out of source locations,false
err_spec_member_not_instantiated,Sema,specialization of member %q0 does not specialize an instantiated member,false
err_specialization_not_primary_template,Sema,cannot reference member of primary template because deduced class template specialization %0 is %select{instantiated from a partial|an explicit}1 specialization,false
err_static_block_func,Sema,function declared in block scope cannot have 'static' storage class,false
err_static_illegal_in_new,Sema,the 'static' modifier for the array size is not legal in new expressions,false
err_static_non_static,Sema,static declaration of %0 follows non-static declaration,true
err_static_out_of_line,Sema,'static' can only be specified inside the class definition,true
err_std_initializer_list_malformed,Sema,%0 layout not recognized. Must be a non-polymorphic class type with no bases and two fields: a 'const E *' and either another 'const E *' or a 'std::size_t',false
err_std_type_trait_not_class_template,Sema,unsupported standard library implementation: 'std::%0' is not a class template,false
err_store_value_to_reg,Sema,impossible constraint in asm: cannot store value into a register,false
err_struct_too_large,AST,"structure '%0' is too large, which exceeds maximum allowed size of %1 bytes",false
err_tag_reference_conflict,Sema,implicit declaration introduced by elaborated type conflicts with a %select{non-struct type|non-class type|non-union type|non-enum type|typedef|type alias|template|type alias template|template template argument}0 of the same name,false
err_temp_copy_ambiguous,Sema,ambiguous constructor call when %sub{select_initialized_entity_kind}0 of type %1,false
err_temp_copy_deleted,Sema,%sub{select_initialized_entity_kind}0 of type %1 invokes deleted constructor,false
err_temp_copy_no_viable,Sema,no viable constructor %sub{select_initialized_entity_kind}0 of type %1,false
err_template_arg_address_of_non_pointer,Sema,address taken in non-type template argument for template parameter of reference type %0,false
err_template_arg_field,Sema,non-type template argument refers to non-static data member %0,false
err_template_arg_invalid,Sema,non-type template argument '%0' is invalid,false
err_template_arg_method,Sema,non-type template argument refers to non-static member function %0,false
err_template_arg_must_be_expr,Sema,template argument for non-type template parameter must be an expression,true
err_template_arg_no_ref_bind,Sema,"non-type template parameter of reference type %diff{$ cannot bind to template argument of type $|cannot bind to template of incompatible argument type}0,1",false
err_template_arg_not_address_constant,Sema,non-type template argument of type %0 is not a constant expression,false
err_template_arg_not_address_of,Sema,non-type template argument for template parameter of pointer type %0 must have its address taken,false
err_template_arg_not_convertible,Sema,non-type template argument of type %0 cannot be converted to a value of type %1,false
err_template_arg_not_ice,Sema,non-type template argument of type %0 is not an integral constant expression,false
err_template_arg_not_integral_or_enumeral,Sema,non-type template argument of type %0 must have an integral or enumeration type,false
err_template_arg_not_object_or_func,Sema,non-type template argument does not refer to an object or function,false
err_template_arg_not_pointer_to_member_form,Sema,non-type template argument is not a pointer to member constant,false
err_template_arg_not_valid_template,Sema,"template argument does not refer to a %select{class or alias template|variable template|concept}0, or template template parameter",false
err_template_arg_object_no_linkage,Sema,non-type template argument refers to %select{function|object}0 %1 that does not have linkage,false
err_template_arg_overload_type,Sema,template argument is the type of an unresolved overloaded function,false
err_template_arg_ref_bind_ignores_quals,Sema,"reference binding of non-type template parameter %diff{of type $ to template argument of type $|to template argument}0,1 ignores qualifiers",false
