diag_name,component,message_template,covered_only_by_opportunistic_record
err_auto_expr_init_paren_braces,Sema,cannot deduce actual type for %1 from %select{parenthesized|nested}0 initializer list,false
err_auto_fn_deduction_failure,Sema,cannot deduce return type %0 from returned value of type %1,false
err_auto_new_deduction_failure,Sema,new expression for type %0 has incompatible constructor argument of type %1,false
err_auto_var_init_no_expression,Sema,initializer for variable %0 with type %1 is empty,false
err_await_suspend_invalid_return_type,Sema,return type of 'await_suspend' is required to be 'void' or 'bool' (have %0),false
err_bad_character_encoding,Lex,illegal character encoding in character literal,false
err_bad_cxx_cast_addr_space_mismatch,Sema,%select{const_cast|static_cast|reinterpret_cast|dynamic_cast|C-style cast|functional-style cast|addrspace_cast}0 from %1 to %2 converts between mismatching address spaces,false
err_bad_cxx_cast_member_pointer_size,Sema,cannot %select{||reinterpret_cast||C-style cast||}0 from member pointer type %1 to member pointer type %2 of different size,false
err_bad_lvalue_to_rvalue_cast,Sema,cannot cast from lvalue of type %1 to rvalue reference type %2; types are not compatible,false
err_bad_parameter_name,Sema,%0 cannot be the name of a parameter,true
err_bad_reinterpret_cast_reference,Sema,"reinterpret_cast of a %0 to %1 needs its address, which is not allowed",false
err_bad_rvalue_to_rvalue_cast,Sema,cannot cast from rvalue of type %1 to rvalue reference type %2; types are not compatible,false
err_bad_string_encoding,Lex,illegal character encoding in string literal,false
err_base_init_does_not_name_class,Sema,constructor initializer %0 does not name a class,false
err_base_must_be_class,Sema,base specifier must name a class,false
err_bit_int_max_size,Sema,%select{signed|unsigned}0 _BitInt of bit sizes greater than %1 not supported,false
err_bracket_depth_exceeded,Parse,bracket nesting level exceeded maximum of %0,false
err_break_continue_label_not_found,Sema,'%select{break|continue}0' label does not name an enclosing %select{loop or 'switch'|loop}0,false
err_builtin_func_cast_more_than_one_arg,Sema,function-style cast to a builtin type can only take one argument,true
err_builtin_move_forward_unsupported,Sema,unsupported signature for %q0,false
err_builtin_pack_outside_template,Sema,%0 cannot be used outside of template,false
err_c23_constexpr_invalid_type,Sema,constexpr variable cannot have type %0,false
err_callback_implicit_this_not_available,Sema,'callback' argument at position %0 references unavailable implicit 'this',false
err_called_once_attribute_wrong_type,Sema,'called_once' attribute only applies to function-like parameters,false
err_cannot_open_file,Common,cannot open file '%0': %1,false
